"What are the types of renewable energy? Wave, PV, Wind, Hydro.",,,,,,,,,,,What are the types of renewable energy?,Wave,PV,Wind,Hydro,,,,,,
"What real-time data are collected from SCADA? Nominal power, current, transformer heating, battery status, temperature, ambient conditions, communication protocol information.",,,,,,,,,,,What real-time data are collected from SCADA?,Nominal power,current,transformer heating,battery status,temperature,ambient conditions,communication protocol information,,,
"What are the types of weather data? Wind speed, temperature, humidity, irradiance.",,,,,,,,,,,What are the types of weather data?,Wind speed,temperature,humidity,irradiance,,,,,,
What is an EV? Electric vehicle.,,,,,,,,,,,What is an EV?,Electric vehicle,,,,,,,,,
What is a SEVC? Smart electric vehicle charger.,,,,,,,,,,,What is a SEVC?,Smart electric vehicle charger,,,,,,,,,
What is an ECO? Energy community.,,,,,,,,,,,What is an ECO?,Energy community,,,,,,,,,
What is an EMS? Energy management system.,,,,,,,,,,,What is an EMS?,Energy management system,,,,,,,,,
What is DER? Distributed energy resource.,,,,,,,,,,,What is DER?,Distributed energy resource,,,,,,,,,
What is DR? Demand response.,,,,,,,,,,,What is DR?,Demand response,,,,,,,,,
What is BESS? Battery energy storage system.,,,,,,,,,,,What is BESS?,Battery energy storage system,,,,,,,,,
What is DSM? Demand-side management.,,,,,,,,,,,What is DSM?,Demand-side management,,,,,,,,,
"How are predicted demand or weather data used? To optimise DER, BESS, DR, and SEVC scheduling.",,,,,,,,,,,How are predicted demand or weather data used?,To optimise DER,BESS,DR,SEVC scheduling,,,,,,
"What energy data types are available? Real-time, historical, synthetic.",,,,,,,,,,,What energy data types are available?,Real-time,historical,synthetic,,,,,,,
"What asset-specific data is collected in TSO? Field observations, diagnostics, maintenance records, GIS network elements, tower deformation, conductor measurements, weather, traffic data.",,,,,,,,,,,What asset-specific data is collected in TSO?,Field observations,diagnostics,maintenance records,GIS network elements,tower deformation,conductor measurements,weather,traffic data,,
"How is real-time operational data measured? Sensors, meters, IoT devices.",,,,,,,,,,,How is real-time operational data measured?,Sensors,meters,IoT devices,,,,,,,
"Which parameters are in real-time operational data? Power flow, energy exchanges, losses, power quality, protection relay records, EMS/SCADA, renewables, WAMS, surge arrestors, lightning strikes,",dynamic,line,rating.,,,,,,,,Which parameters are in real-time operational data?,Power flow,energy exchanges,losses,power quality,protection relay records,EMS/SCADA,renewables,WAMS,surge arrestors,lightning strikes
What is DPsim? Dynamic Phasor simulation,,,,,,,,,,,What is DPsim?,Dynamic Phasor simulation,,,,,,,,,
What is CIM? Common Information Model,,,,,,,,,,,What is CIM?,Common Information Model,,,,,,,,,
What is DER in a microgrid? Distributed energy resource,,,,,,,,,,,What is DER in a microgrid?,Distributed energy resource,,,,,,,,,
What is a microgrid? A local power system connected to or isolated from the main grid.,,,,,,,,,,,What is a microgrid?,A local power system connected to or isolated from the main grid,,,,,,,,,
What is sensitivity analysis? Analysis of influence factors in power systems.,,,,,,,,,,,What is sensitivity analysis?,Analysis of influence factors in power systems,,,,,,,,,
What is BEMS? Building energy management system.,,,,,,,,,,,What is BEMS?,Building energy management system,,,,,,,,,
What is BIPV? Building-integrated photovoltaics.,,,,,,,,,,,What is BIPV?,Building-integrated photovoltaics,,,,,,,,,
"What behind-the-meter data is available? Consumption, production, demand profiles.",,,,,,,,,,,What behind-the-meter data is available?,Consumption,production,demand profiles,,,,,,,
What is FCHEV? Fuel cell hybrid electric vehicle.,,,,,,,,,,,What is FCHEV?,Fuel cell hybrid electric vehicle,,,,,,,,,
"What parameters affect fuel cell degradation? Current, voltage, temperature, humidity, pressure, load cycles.",,,,,,,,,,,What parameters affect fuel cell degradation?,Current,voltage,temperature,humidity,pressure,load cycles,,,,
"Which elements are involved in Industrial Manufacturing? Manufacturing processes, monitoring equipment, computational equipment.",,,,,,,,,,,Which elements are involved in Industrial Manufacturing?,Manufacturing processes,monitoring equipment,computational equipment,,,,,,,
"What sensor data supports adaptive scheduling? Power, energy, machine status, environmental conditions, maintenance records.",,,,,,,,,,,What sensor data supports adaptive scheduling?,Power,energy,machine status,environmental conditions,maintenance records,,,,,
How is a manufacturing DT used? Simulation and optimisation of production scenarios before deployment.,,,,,,,,,,,How is a manufacturing DT used?,Simulation,optimisation of production scenarios before deployment,,,,,,,,
What is a DHN? District heating network.,,,,,,,,,,,What is a DHN?,District heating network,,,,,,,,,
"What entities constitute at building level? Substations, heat exchangers, local demand.",,,,,,,,,,,What entities constitute at building level?,Substations,heat exchangers,local demand,,,,,,,
"What elements feed demand forecasting? Historical consumption, outdoor temperature, weather.",,,,,,,,,,,What elements feed demand forecasting?,Historical consumption,outdoor temperature,weather,,,,,,,
